,artist_id
Bob Dylan,13
Stevie Wonder,22
Nirvana,43
Enya,60
Madonna,61
Metallica,64
Frank Sinatra,69
Mariah Carey,72
James Taylor,79
Simon Garfunkel,80
Billy Joel,85
Celine Dion,86
George Michael,88
Janet Jackson,90
Phil Collins,91
Prince,92
Bryan Adams,95
Pink Floyd,117
Queen,118
Tom Petty,120
U2,121
Dire Straits,134
Elton John,136
Def Leppard,145
Fleetwood Mac,158
The Beatles,160
Cher,166
Johnny Cash,225
Led Zeppelin,226
Aerosmith,268
Backstreet Boys,271
Michael Jackson,295
Van Halen,356
Donna Summer,360
Bruce Springsteen,373
The Police,380
The Rolling Stones,383
ABBA,402
Eminem,426
David Bowie,431
Shania Twain,441
Whitney Houston,444
Bee Gees,452
Kenny Rogers,529
Barry White,537
Beach Boys,542
Barbra Streisand,558
AC/DC,626
Foreigner,650
Aretha Franklin,662
Genesis,679
Elvis Presley,702
Tina Turner,733
George Strait,745
Linda Ronstadt,756
Journey,765
The Doors,815
Santana,880
Garth Brooks,920
Coldplay,1039
Chicago,1292
Neil Diamond,1362
Robbie Williams,1375
Rod Stewart,2517
Meat Loaf,6391
Alabama,6470
Kenny G,6563
Barry Manilow,6779
R.E.M.,6882
Black Eyed Peas,7014
Lionel Richie,7058
Olivia Newton-John,7069
Linkin Park,7132
Eagles,7157
The Who,7220
Red Hot Chili Peppers,7521
Bon Jovi,7704
Reba McEntire,8539
Beyonce,18927
Justin Timberlake,22681
Lil Wayne,23619
Maroon 5,27840
Bob Marley,140038
Katy Perry,190034
Taylor Swift,259675
Adele,346898
Lady Gaga,378462
Kiss,13949139
Guns N' Roses,14326951
Tupac,24446031
The Carpenters,24821606
Flo Rida,33091402
Kanye West,33091467
Jay-Z,33091963
Ed Sheeran,33111847
Paul McCartney,33490869
Chris Brown,33490897
Britney Spears,33491420
Rihanna,33491890
Justin Bieber,33491916
Nicki Minaj,33492007
Usher,33492008
R. Kelly,33492091
Bruno Mars,33492237
"Earth, Wind & Fire",35448554
